SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,520 Summerlea Dr,Fayetteville,NC,28311,110000,,,WOODBRIDGE (FA),,81457,,103,,,Active,,,https://www.redfin.com/NC/Fayetteville/520-Summerlea-Dr-28311/home/163080315,LPRMLS,697432,N,Y,35.161854,-78.897957
MLS Listing,,Vacant Land,213 Waddell Dr,Fayetteville,NC,28301,30000,,,MURCHISON,,5227,,103,,,Active,,,https://www.redfin.com/NC/Fayetteville/213-Waddell-Dr-28301/home/126357489,LPRMLS,694856,N,Y,35.092348,-78.91481
MLS Listing,,Vacant Land,Al Ray Rd,Eastover,NC,28312,3390000,,,EASTOVER,,9844560,,104,,,Active,,,https://www.redfin.com/NC/Fayetteville/Al-Ray-Rd-28312/home/163013192,LPRMLS,673675,N,Y,35.067783,-78.821584
MLS Listing,,Vacant Land,5320 Matt Hair Rd,Fayetteville,NC,28312,358000,,,Cumberland Coun,,2069971,,105,,,Active,,,https://www.redfin.com/NC/Fayetteville/5320-Matt-Hair-Rd-28312/home/163012806,NCRMLS,100365957,N,Y,34.9043497,-78.8030879
MLS Listing,,Vacant Land,Seventy First School Rd,Fayetteville,NC,28314,2450000,,,NOT IN SUBDIVISION,,1186574,,110,,,Active,,,https://www.redfin.com/NC/Fayetteville/Seventy-First-School-Rd-28314/home/163092999,LPRMLS,676301,N,Y,35.048217,-79.008426
MLS Listing,,Single Family Residential,TBD Solomon (lot 51) Dr,Cameron,NC,28326,354900,4,2.5,LIBERTY MEADOWS,2128,20909,2023,110,167,29,Active,,,https://www.redfin.com/NC/Cameron/TBD-Solomon-lot-51-DR-28326/home/184323633,LPRMLS,697091,N,Y,35.0533,-78.9052
MLS Listing,,Single Family Residential,2606 Colgate Dr,Fayetteville,NC,28304,310000,4,2.5,BRIARWOOD HILLS,2727,22651,1969,112,114,,Active,,,https://www.redfin.com/NC/Fayetteville/2606-Colgate-Dr-28304/home/125945587,LPRMLS,692896,N,Y,35.0285237,-78.9174867
MLS Listing,,Multi-Family (2-4 Unit),201 Country Club Dr,Fayetteville,NC,28301,388999,,,COUNTRY CLUB DRIVE,,,1949,113,,,Active,,,https://www.redfin.com/NC/Fayetteville/201-Country-Club-Dr-28301/home/126327662,LPRMLS,695475,N,Y,35.1041325,-78.8807026
MLS Listing,,Multi-Family (2-4 Unit),2510-2512 2514 A/B Nobie St,Fayetteville,NC,28304,395000,,,FAYETTEVILLE,,,,114,,,Active,,,https://www.redfin.com/NC/Fayetteville/2510-2512-2514-A-B-Nobie-St-28304/home/183800721,LPRMLS,696997,N,Y,35.010129,-78.956501
MLS Listing,,Vacant Land,151 S Churchill Dr,Fayetteville,NC,28304,275000,,,FOXRIDGE,,32670,,116,,,Active,,,https://www.redfin.com/NC/Fayetteville/151-S-Churchill-Dr-28303/home/125483702,LPRMLS,696388,N,Y,35.059498,-78.920979
MLS Listing,,Vacant Land,26.5 Acres Mcintyre Land,Fayetteville,NC,28301,315000,,,BROADELL,,1132560,,117,,,Active,,,https://www.redfin.com/NC/Fayetteville/26-5-Acres-Mcintyre-LAND-28301/home/183738776,LPRMLS,696864,N,Y,35.0681,-78.884
MLS Listing,,Vacant Land,6143 Sabine Dr,Fayetteville,NC,28303,33000,,,PONDEROSA,,10019,,120,,,Active,,,https://www.redfin.com/NC/Fayetteville/6143-Sabine-Dr-28303/home/125349916,LPRMLS,696737,N,Y,35.0874588,-78.9930449
MLS Listing,,Vacant Land,"235 Snow Hill Rd Unit also 169,205, 213, 221, 229",Fayetteville,NC,28306,185000,,,Snow Hill Acres,,217800,,121,,,Active,,,https://www.redfin.com/NC/Fayetteville/235-Snow-Hill-Rd-28306/unit-also-169-205-213-221-229/home/183700630,TMLS,2489397,N,Y,34.979369,-78.9040369
MLS Listing,,Single Family Residential,1362 Pamalee Dr,Fayetteville,NC,28303,189900,2,1.0,PAMALEE,950,71003,1953,121,200,,Active,,,https://www.redfin.com/NC/Fayetteville/1362-Pamalee-Dr-28303/home/125926129,LPRMLS,693718,N,Y,35.0854855,-78.9335754
MLS Listing,,Vacant Land,Carvers Falls Rd,Fayetteville,NC,28311,225000,,,NORTHWOOD (FA),,713077,,121,,,Active,,,https://www.redfin.com/NC/Fayetteville/Carvers-Falls-Rd-28311/home/163022748,LPRMLS,663081,N,Y,35.146563,-78.859834
MLS Listing,,Single Family Residential,107 Bremer St,Fayetteville,NC,28303,185000,3,1.5,KORNBOW,1617,,1951,124,114,,Active,,,https://www.redfin.com/NC/Fayetteville/107-Bremer-St-28303/home/126712148,LPRMLS,696529,N,Y,35.0979708,-78.9422876
MLS Listing,,Single Family Residential,526 Northview Dr,Fayetteville,NC,28303,439000,5,3.5,VANSTORY HL,3030,21344,1976,128,145,4,Active,,,https://www.redfin.com/NC/Fayetteville/526-Northview-Dr-28303/home/126142648,LPRMLS,696480,N,Y,35.055007,-78.931012
MLS Listing,,Single Family Residential,2925 Skye Dr,Fayetteville,NC,28303,695000,4,3.5,LOCKWOOD,4521,50965,1971,129,154,,Active,,,https://www.redfin.com/NC/Fayetteville/2925-Skye-Dr-28303/home/126388986,LPRMLS,696237,N,Y,35.0714647,-78.9332881
MLS Listing,,Single Family Residential,492 Mcbain Dr,Fayetteville,NC,28305,179000,2,1.0,HIGHLAND VILLAGE,928,,1953,130,193,,Active,,,https://www.redfin.com/NC/Fayetteville/492-McBain-Dr-28305/home/125510056,LPRMLS,695101,N,Y,35.0474921,-78.9188515
MLS Listing,,Condo/Co-op,325 Hay St #401,Fayetteville,NC,28301,1050000,3,3.5,DOWNTOWN,3574,,2007,130,294,824,Active,,,https://www.redfin.com/NC/Fayetteville/325-Hay-St-28301/unit-401/home/182998642,LPRMLS,694224,N,Y,35.0535819,-78.8817024
MLS Listing,,Single Family Residential,2243 Meadow Wood Dr,Fayetteville,NC,28303,525000,4,3.5,VANSTORY HL,4117,,1999,139,128,2,Active,,,https://www.redfin.com/NC/Fayetteville/2243-Meadow-Wood-Rd-28303/home/126345769,LPRMLS,687048,N,Y,35.0542932,-78.9211776
MLS Listing,,Vacant Land,3141 Braddy Rd,Fayetteville,NC,28306,100000,,,FAYETTEVILLE,,20037,,140,,,Active,,,https://www.redfin.com/NC/Fayetteville/3141-Braddy-Rd-28306/home/183403127,LPRMLS,696170,N,Y,34.9941095,-79.036981
MLS Listing,,Vacant Land,3131 Braddy Rd,Fayetteville,NC,28306,100000,,,FAYETTEVILLE,,20037,,140,,,Active,,,https://www.redfin.com/NC/Fayetteville/3131-Braddy-Rd-28306/home/183403126,LPRMLS,696171,N,Y,34.9941403,-79.0369651
MLS Listing,,Vacant Land,3171 Braddy Rd,Fayetteville,NC,28306,100000,,,FAYETTEVILLE,,20037,,140,,,Active,,,https://www.redfin.com/NC/Fayetteville/3171-Braddy-Rd-28306/home/183403078,LPRMLS,696168,N,Y,34.9940172,-79.0370286
MLS Listing,,Single Family Residential,713 Stella St,Fayetteville,NC,28301,139500,2,1.0,Not in a Subdivision,816,4356,1958,141,171,,Active,,,https://www.redfin.com/NC/Fayetteville/713-Stella-St-28301/home/126668967,TMLS,2487617,N,Y,35.0517371,-78.8909169
MLS Listing,,Single Family Residential,177 Solomon (lot 45) Dr,Cameron,NC,28326,374900,3,2.5,LIBERTY MEADOWS,2452,54450,2023,141,153,29,Active,,,https://www.redfin.com/NC/Cameron/177-Solomon-lot-45-DR-28326/home/182992746,LPRMLS,694802,N,Y,35.0533,-78.9052
MLS Listing,,Townhouse,4409 Bluebush Dr,Fayetteville,NC,28312,249000,2,2.0,BAYWOOD,1590,10019,1995,143,157,,Active,,,https://www.redfin.com/NC/Fayetteville/4409-Bluebush-Dr-28312/home/126765328,LPRMLS,696100,N,Y,35.0499942,-78.7541203
MLS Listing,,Vacant Land,Hoke Loop Rd,Fayetteville,NC,28314,50000,,,FAYETTEVILLE,,37462,,143,,,Active,,,https://www.redfin.com/NC/Fayetteville/Hoke-Loop-Rd-28314/home/125882954,LPRMLS,687735,N,Y,35.050911,-79.078983
MLS Listing,,Vacant Land,Lot 2 Stedman Cedar Creek Rd,Fayetteville,NC,28312,80000,,,,,130680,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-2-Stedman-Cedar-Creek-Rd-28312/home/183352956,LPRMLS,696071,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 3 Stedman Cedar Creek Rd,Fayetteville,NC,28312,85000,,,,,141570,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-3-Stedman-Cedar-Creek-Rd-28312/home/183352812,LPRMLS,696069,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 4 Stedman Cedar Creek Rd,Fayetteville,NC,28312,80000,,,,,131987,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-4-Stedman-Cedar-Creek-Rd-28312/home/183352749,LPRMLS,696068,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 5 Stedman Cedar Creek Rd,Fayetteville,NC,28312,80000,,,,,131987,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-5-Stedman-Cedar-Creek-Rd-28312/home/183352747,LPRMLS,696067,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 8 Stedman Cedar Creek Rd,Fayetteville,NC,28312,80000,,,,,130680,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-8-Stedman-Cedar-Creek-Rd-28312/home/183352699,LPRMLS,696065,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 9 Stedman Cedar Creek Rd,Fayetteville,NC,28312,140000,,,,,241322,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-9-Stedman-Cedar-Creek-Rd-28312/home/183352655,LPRMLS,696064,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,Lot 10 Stedman Cedar Creek Rd,Fayetteville,NC,28312,90000,,,,,146797,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-10-Stedman-Cedar-Creek-Rd-28312/home/183352654,LPRMLS,696061,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,3334-Lot 2B Stedman Cedar Creek Rd,Fayetteville,NC,28312,75000,,,,,80150,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/3334-Lot-2B-Stedman-Cedar-Creek-Rd-28312/home/183352419,LPRMLS,696046,N,Y,34.963645,-78.737345
MLS Listing,,Vacant Land,Lot 11 Stedman Cedar Creek Rd,Fayetteville,NC,28312,75000,,,,,99752,,144,,,Active,,,https://www.redfin.com/NC/Fayetteville/Lot-11-Stedman-Cedar-Creek-Rd-28312/home/183348788,LPRMLS,696037,N,Y,35.0332,-78.795
MLS Listing,,Vacant Land,443 Holly Ln,Fayetteville,NC,28305,139000,,,FAYETTEVILLE,,17424,,145,,,Active,,,https://www.redfin.com/NC/Fayetteville/443-Holly-Ln-28305/home/126661954,LPRMLS,696022,N,Y,35.052624,-78.912892
MLS Listing,,Single Family Residential,4632 Weaverhall Dr,Fayetteville,NC,28314,499999,6,4.0,BUCKHEAD,3504,18295,2004,156,143,,Active,,,https://www.redfin.com/NC/Fayetteville/4632-Weaverhall-Dr-28314/home/125874552,LPRMLS,693278,N,Y,35.0577576,-78.9534943
MLS Listing,,Single Family Residential,1116 Offshore Dr,Fayetteville,NC,28305,1195000,6,6.0,FOREST LKS,6028,,1969,158,198,,Active,,,https://www.redfin.com/NC/Fayetteville/1116-Offshore-Dr-28305/home/125504543,LPRMLS,690394,N,Y,35.047437,-78.9103918
MLS Listing,,Single Family Residential,817 Murray Hill Rd,Fayetteville,NC,28314,559900,4,4.0,SOUTH KINGSFORD,4419,16553,1996,158,127,12,Active,,,https://www.redfin.com/NC/Fayetteville/817-Murray-Hill-Rd-28314/home/126724909,LPRMLS,695380,N,Y,35.0505096,-78.9417071
MLS Listing,,Vacant Land,1512 Cedar Creek Rd,Fayetteville,NC,28312,170000,,,Not in a Subdivision,,1393920,,158,,,Active,,,https://www.redfin.com/NC/Fayetteville/1512-Cedar-Creek-Rd-28312/home/163110494,TMLS,2483435,N,Y,35.019455,-78.840279
MLS Listing,,Single Family Residential,1853 Bluffside Dr,Fayetteville,NC,28312,348000,4,2.5,COMMONS AT RIVERBLUFF,,6970,2022,159,,89,Active,,,https://www.redfin.com/NC/Fayetteville/1853-Bluffside-Dr-28312/home/179663151,LPRMLS,681476,N,Y,35.0573,-78.851094
MLS Listing,,Single Family Residential,1849 Bluffside Dr,Fayetteville,NC,28312,357700,4,2.5,COMMONS AT RIVERBLUFF,2408,6970,2022,160,149,86,Active,,,https://www.redfin.com/NC/Fayetteville/1849-Bluffside-Dr-28312/home/182280093,LPRMLS,693480,N,Y,35.057264,-78.850895
MLS Listing,,Vacant Land,3717 Gillespie St,Fayetteville,NC,28306,135000,,,FAYETTEVILLE,,34848,,160,,,Active,,,https://www.redfin.com/NC/Fayetteville/3717-Gillespie-St-28306/home/126670517,LPRMLS,685672,N,Y,34.9778985,-78.9078057
